text,author,tags
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,"<small class=""author"" itemprop=""author"">Albert Einstein</small>","['change', 'deep-thoughts', 'thinking', 'world']"
"It is our choices, Harry, that show what we truly are, far more than our abilities.","<small class=""author"" itemprop=""author"">J.K. Rowling</small>","['abilities', 'choices']"
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,"<small class=""author"" itemprop=""author"">Albert Einstein</small>","['inspirational', 'life', 'live', 'miracle', 'miracles']"
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.","<small class=""author"" itemprop=""author"">Jane Austen</small>","['aliteracy', 'books', 'classic', 'humor']"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.","<small class=""author"" itemprop=""author"">Marilyn Monroe</small>","['be-yourself', 'inspirational']"
Try not to become a man of success. Rather become a man of value.,"<small class=""author"" itemprop=""author"">Albert Einstein</small>","['adulthood', 'success', 'value']"
It is better to be hated for what you are than to be loved for what you are not.,"<small class=""author"" itemprop=""author"">André Gide</small>","['life', 'love']"
"I have not failed. I've just found 10,000 ways that won't work.","<small class=""author"" itemprop=""author"">Thomas A. Edison</small>","['edison', 'failure', 'inspirational', 'paraphrased']"
A woman is like a tea bag; you never know how strong it is until it's in hot water.,"<small class=""author"" itemprop=""author"">Eleanor Roosevelt</small>",['misattributed-eleanor-roosevelt']
"A day without sunshine is like, you know, night.","<small class=""author"" itemprop=""author"">Steve Martin</small>","['humor', 'obvious', 'simile']"
